model_id,model_short,tokens,cost_per_mtok,total_cost
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Embedding-Gemma3-12B-2511,4387016,0.035942,0.15767812907200002
bflhc/Octen-Embedding-8B,Octen-Embedding-8B,4565543,0.023596,0.10772855262799999
Qwen/Qwen3-Embedding-8B,Qwen3-Embedding-8B,4565543,0.023637,0.10791573989099999
Qwen/Qwen3-Embedding-4B,Qwen3-Embedding-4B,4565543,0.01501,0.06852880043000001
jinaai/jina-embeddings-v5-text-small,jina-embeddings-v5-text-small,4565543,0.007546,0.034451587478
nvidia/llama-embed-nemotron-8b,llama-embed-nemotron-8b,4610266,0.024873,0.114671146218
jinaai/jina-embeddings-v5-text-nano,jina-embeddings-v5-text-nano,4610266,0.00211,0.00972766126
Salesforce/SFR-Embedding-2_R,SFR-Embedding-2_R,5529554,0.024531,0.13564548917400002
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,4565543,0.047165,0.215333835595
Qwen/Qwen3-Embedding-0.6B,Qwen3-Embedding-0.6B,4565543,0.003937,0.017974542791
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,4565543,0.026647,0.121658024321
Linq-AI-Research/Linq-Embed-Mistral,Linq-Embed-Mistral,5529554,0.02499,0.13818355446
google/embeddinggemma-300m,embeddinggemma-300m,4387016,0.001845,0.00809404452
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,4565543,0.017224,0.078636912632
codefuse-ai/F2LLM-v2-1.7B,F2LLM-v2-1.7B,4565543,0.0065,0.0296760295
codefuse-ai/F2LLM-v2-0.6B,F2LLM-v2-0.6B,4565543,0.003647,0.016650535321
intfloat/multilingual-e5-large-instruct,multilingual-e5-large-instruct,4619700,0.001079,0.0049846563
BAAI/bge-m3,bge-m3,4619700,0.00108,0.004989276
intfloat/multilingual-e5-large,multilingual-e5-large,4619700,0.001081,0.0049938957
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-arctic-embed-l-v2.0,4619700,0.00108,0.004989276
intfloat/multilingual-e5-base,multilingual-e5-base,4619700,0.000362,0.0016723314000000001
intfloat/multilingual-e5-small,multilingual-e5-small,4621818,0.00016,0.00073949088
intfloat/e5-mistral-7b-instruct,e5-mistral-7b-instruct,5529554,0.025132,0.138968751128
Alibaba-NLP/gte-Qwen2-7B-instruct,gte-Qwen2-7B-instruct,4565543,0.019528,0.089155923704
Alibaba-NLP/gte-Qwen2-1.5B-instruct,gte-Qwen2-1.5B-instruct,4565543,0.005178,0.023640381654000002
GritLM/GritLM-7B,GritLM-7B,5529554,0.024943,0.137923665422
