model_id,params,mteb_score,batch_size_used,seq_len,tokens_per_batch,median_tok_per_sec,p5_tok_per_sec,p95_tok_per_sec,cost_usd_per_mtok,gpu,gpu_rate_usd_per_hr,status,error
tencent/KaLM-Embedding-Gemma3-12B-2511,11770000000,0.7328,216,512,110592,19243.8,19211.8,19269.1,0.035942,NVIDIA H100 80GB HBM3,2.49,success,
bflhc/Octen-Embedding-8B,7570000000,0.7259,503,512,257536,29313.4,28958.5,29559.8,0.023596,NVIDIA H100 80GB HBM3,2.49,success,
Qwen/Qwen3-Embedding-8B,7570000000,0.7256,503,512,257536,29262.5,28847.3,29511.6,0.023637,NVIDIA H100 80GB HBM3,2.49,success,
Qwen/Qwen3-Embedding-4B,4020000000,0.7194,623,512,318976,46080.2,45278.4,46397.5,0.01501,NVIDIA H100 80GB HBM3,2.49,success,
jinaai/jina-embeddings-v5-text-small,596000000,0.7029,935,512,478720,91658.1,91643.5,91664.0,0.007546,NVIDIA H100 80GB HBM3,2.49,success,
nvidia/llama-embed-nemotron-8b,7500000000,0.7023,1080,512,552960,27807.6,27637.8,28051.7,0.024873,NVIDIA H100 80GB HBM3,2.49,success,
jinaai/jina-embeddings-v5-text-nano,212000000,0.6978,1945,512,995840,327789.8,327733.7,327889.6,0.00211,NVIDIA H100 80GB HBM3,2.49,success,
Salesforce/SFR-Embedding-2_R,7110000000,0.6922,1092,512,559104,28195.9,28002.5,28344.0,0.024531,NVIDIA H100 80GB HBM3,2.49,success,
codefuse-ai/F2LLM-v2-14B,13990000000,0.6905,716,512,366592,14664.7,14597.1,14728.9,0.047165,NVIDIA H100 80GB HBM3,2.49,success,
Qwen/Qwen3-Embedding-0.6B,596000000,0.6888,1089,512,557568,175691.9,175418.0,175800.4,0.003937,NVIDIA H100 80GB HBM3,2.49,success,
codefuse-ai/F2LLM-v2-8B,7570000000,0.6813,1202,512,615424,25957.1,25775.0,26100.3,0.026647,NVIDIA H100 80GB HBM3,2.49,success,
Linq-AI-Research/Linq-Embed-Mistral,7110000000,0.678,1092,512,559104,27677.3,27491.8,27765.9,0.02499,NVIDIA H100 80GB HBM3,2.49,success,
google/embeddinggemma-300m,308000000,0.6766,1945,512,995840,374988.0,374858.8,375116.9,0.001845,NVIDIA H100 80GB HBM3,2.49,success,
codefuse-ai/F2LLM-v2-4B,4020000000,0.6751,1790,512,916480,40157.3,39890.8,40368.4,0.017224,NVIDIA H100 80GB HBM3,2.49,success,
codefuse-ai/F2LLM-v2-1.7B,1720000000,0.6735,1945,512,995840,106406.2,106313.1,106502.5,0.0065,NVIDIA H100 80GB HBM3,2.49,success,
codefuse-ai/F2LLM-v2-0.6B,596000000,0.6576,1945,512,995840,189653.4,189395.6,189754.3,0.003647,NVIDIA H100 80GB HBM3,2.49,success,
intfloat/multilingual-e5-large-instruct,560000000,0.6576,1945,512,995840,640841.9,638987.9,643732.3,0.001079,NVIDIA H100 80GB HBM3,2.49,success,
BAAI/bge-m3,568000000,0.6125,1945,512,995840,640425.3,638465.2,643078.6,0.00108,NVIDIA H100 80GB HBM3,2.49,success,
intfloat/multilingual-e5-large,560000000,0.611,1945,512,995840,640125.6,637884.4,642670.2,0.001081,NVIDIA H100 80GB HBM3,2.49,success,
Snowflake/snowflake-arctic-embed-l-v2.0,568000000,0.6063,1945,512,995840,640405.4,638139.8,642657.1,0.00108,NVIDIA H100 80GB HBM3,2.49,success,
intfloat/multilingual-e5-base,278000000,0.6037,1945,512,995840,1910004.8,1899195.5,1922472.0,0.000362,NVIDIA H100 80GB HBM3,2.49,success,
intfloat/multilingual-e5-small,118000000,0.5922,1945,512,995840,4314796.5,4278053.5,4349935.5,0.00016,NVIDIA H100 80GB HBM3,2.49,success,
intfloat/e5-mistral-7b-instruct,7110000000,0.4872,1092,512,559104,27521.9,27389.1,27695.6,0.025132,NVIDIA H100 80GB HBM3,2.49,success,
Alibaba-NLP/gte-Qwen2-7B-instruct,7070000000,0.6917,888,512,454656,35419.1,35323.4,35514.9,0.019528,NVIDIA H100 80GB HBM3,2.49,success,
Alibaba-NLP/gte-Qwen2-1.5B-instruct,1540000000,0.6662,1945,512,995840,133567.4,133311.8,133872.9,0.005178,NVIDIA H100 80GB HBM3,2.49,success,
GritLM/GritLM-7B,7240000000,0.508,1083,512,554496,27730.3,27614.1,27841.8,0.024943,NVIDIA H100 80GB HBM3,2.49,success,
