model,short_name,n_tasks,input_tokens,output_tokens,cached_tokens,thinking_tokens,total_tokens,price_input_per_mtok,price_output_per_mtok,price_cached_per_mtok,cost_input_usd,cost_cached_usd,cost_output_usd,total_cost_usd
google__gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,37,43433225,1367419,26919872,0,44800644,0.25,1.5,0.025,4.12833825,0.6729968000000001,2.0511285,6.8524635499999995
google__gemini-3-flash-preview,Gemini 3 Flash,37,39918351,1833779,27540892,14266445,56018575,0.5,3.0,0.05,6.1887295,1.3770446,48.300672000000006,55.866446100000005
google__gemini-3.1-pro-preview,Gemini 3.1 Pro,37,39918351,1773778,27721214,8576693,50268822,2.0,12.0,0.2,24.394274,5.5442428,124.20565200000001,154.14416880000002
deepseek-r1,DeepSeek-R1,37,39611022,1222768,0,10638376,51472166,0.7,2.5,0.07,27.727715399999997,0.0,29.652859999999997,57.3805754
deepseek__deepseek-v4-flash,DeepSeek-V4-Flash,37,39437954,2084547,22602162,4464002,45986503,0.0983,0.1966,0.00983,1.6549583536,0.22217925246,1.2874447334,3.16458233946
glm-4.7,GLM-4.7,37,38849232,2371527,0,24928025,66148784,0.4,1.75,0.04,15.539692800000001,0.0,47.774215999999996,63.31390879999999
kimi-k2.6,Kimi-K2.6,37,40103147,2633539,0,21714751,64451437,0.684,3.42,0.0684,27.430552548,0.0,83.2711518,110.70170434799999
minimax-m2.7,MiniMax-M2.7,37,37937630,1580334,0,10031165,49549129,0.279,1.2,0.0279,10.584598770000001,0.0,13.9337988,24.51839757
qwen3.6-27b,Qwen3.6-27B,37,39523309,2665631,0,26075986,68264926,0.29,3.2,0.029,11.461759609999998,0.0,91.9731744,103.43493401
qwen3.6-35b-a3b,Qwen3.6-35B-A3B,37,39523309,2496081,0,26027308,68046698,0.14,1.0,0.014,5.53326326,0.0,28.523389,34.05665226
